id,x1,x2,x3,x4
0,4.37086107,8.741722139,2.185430535,6.556291604
1,9.556428758,19.11285752,4.778214379,14.33464314
2,7.587945476,15.17589095,3.793972738,11.38191821
3,6.387926358,12.77585272,3.193963179,9.581889537
4,2.404167764,4.808335528,1.202083882,3.606251646
5,2.403950683,4.807901366,1.201975342,3.605926025
6,1.52275251,3.045505019,0.761376255,2.284128764
7,8.795585312,17.59117062,4.397792656,13.19337797
8,6.410035106,12.82007021,3.205017553,9.615052659
9,7.3726532,14.7453064,3.6863266,11.0589798
10,1.185260449,2.370520897,0.592630224,1.777890673
11,9.729188669,19.45837734,4.864594335,14.593783
12,8.491983767,16.98396753,4.245991884,12.73797565
13,2.911051996,5.822103992,1.455525998,4.366577994
14,2.636424705,5.27284941,1.318212352,3.954637057
15,2.650640589,5.301281177,1.325320294,3.975960883
16,3.738180187,7.476360373,1.869090093,5.60727028
17,5.722807885,11.44561577,2.861403942,8.584211827
18,4.887505168,9.775010336,2.443752584,7.331257752
19,3.621062262,7.242124524,1.810531131,5.431593393
20,6.506676053,13.01335211,3.253338026,9.760014079
21,2.255444746,4.510889492,1.127722373,3.383167119
22,3.629301837,7.258603674,1.814650918,5.443952755
23,4.29725659,8.594513179,2.148628295,6.445884884
24,5.104629858,10.20925972,2.552314929,7.656944787
25,8.066583653,16.13316731,4.033291826,12.09987548
26,2.797064039,5.594128079,1.39853202,4.195596059
27,5.628109946,11.25621989,2.814054973,8.442164919
28,6.33173112,12.66346224,3.16586556,9.49759668
29,1.418053714,2.836107429,0.709026857,2.127080572
30,6.467903667,12.93580733,3.233951834,9.701855501
31,2.534717113,5.069434226,1.267358557,3.80207567
32,1.585464337,3.170928674,0.792732168,2.378196505
33,9.539969835,19.07993967,4.769984918,14.30995475
34,9.690688298,19.3813766,4.845344149,14.53603245
35,8.275576133,16.55115227,4.137788067,12.4133642
36,3.741523923,7.483047845,1.870761961,5.612285884
37,1.879049026,3.758098052,0.939524513,2.818573539
38,7.158097239,14.31619448,3.579048619,10.73714586
39,4.961372444,9.922744887,2.480686222,7.442058665
40,2.098344114,4.196688227,1.049172057,3.14751617
41,5.456592191,10.91318438,2.728296096,8.184888287
42,1.30949669,2.61899338,0.654748345,1.964245035
43,9.183883619,18.36776724,4.591941809,13.77582543
44,3.329019834,6.658039669,1.664509917,4.993529752
45,6.962700559,13.92540112,3.48135028,10.44405084
46,3.805399685,7.61079937,1.902699842,5.708099527
47,5.680612191,11.36122438,2.840306095,8.520918286
48,5.920392514,11.84078503,2.960196257,8.880588771
49,2.6636901,5.327380199,1.33184505,3.99553515
50,9.72626165,19.4525233,4.863130825,14.58939247
51,7.97619541,15.95239082,3.988097705,11.96429312
52,9.455490474,18.91098095,4.727745237,14.18323571
53,9.053446154,18.10689231,4.526723077,13.58016923
54,6.381099809,12.76219962,3.190549905,9.571649714
55,9.296868115,18.59373623,4.648434058,13.94530217
56,1.796432518,3.592865037,0.898216259,2.694648778
57,2.763845762,5.527691524,1.381922881,4.145768643
58,1.4070456,2.8140912,0.7035228,2.1105684
59,3.927972977,7.855945954,1.963986488,5.891959465
60,4.498095607,8.996191214,2.249047804,6.747143411
61,3.442141286,6.884282572,1.721070643,5.163211929
62,8.458637582,16.91727516,4.229318791,12.68795637
63,4.21077994,8.42155988,2.10538997,6.31616991
64,3.528410587,7.056821174,1.764205294,5.292615881
65,5.884264748,11.7685295,2.942132374,8.826397123
66,2.268318025,4.53663605,1.134159012,3.402477037
67,8.219772827,16.43954565,4.109886413,12.32965924
68,1.670955793,3.341911586,0.835477897,2.50643369
69,9.881982429,19.76396486,4.940991215,14.82297364
70,7.950202924,15.90040585,3.975101462,11.92530439
71,2.788441134,5.576882268,1.394220567,4.182661701
72,1.049699054,2.099398108,0.524849527,1.574548581
73,8.339152856,16.67830571,4.169576428,12.50872928
74,7.361716095,14.72343219,3.680858047,11.04257414
75,7.561064512,15.12212902,3.780532256,11.34159677
76,7.94143312,15.88286624,3.97071656,11.91214968
77,1.666401866,3.332803731,0.833200933,2.499602798
78,4.226191557,8.452383114,2.113095778,6.339287335
79,2.042821536,4.085643071,1.021410768,3.064232304
80,8.767930833,17.53586167,4.383965416,13.15189625
81,6.609683141,13.21936628,3.304841571,9.914524712
82,3.978082224,7.956164447,1.989041112,5.967123336
83,1.572025153,3.144050305,0.786012576,2.358037729
84,3.798840895,7.597681791,1.899420448,5.698261343
85,3.926649898,7.853299796,1.963324949,5.889974847
86,7.566455605,15.13291121,3.783227803,11.34968341
87,6.738017242,13.47603448,3.369008621,10.10702586
88,8.984914683,17.96982937,4.492457342,13.47737202
89,5.249934326,10.49986865,2.624967163,7.87490149
90,2.076348213,4.152696427,1.038174107,3.11452232
91,7.419203085,14.83840617,3.709601543,11.12880463
92,7.847065438,15.69413088,3.923532719,11.77059816
93,6.051494778,12.10298956,3.025747389,9.077242167
94,7.93870462,15.87740924,3.96935231,11.90805693
95,5.444160367,10.88832073,2.722080184,8.166240551
96,5.704595464,11.40919093,2.852297732,8.556893197
97,4.847869165,9.69573833,2.423934583,7.271803748
98,1.228772141,2.457544281,0.61438607,1.843158211
99,1.971022843,3.942045686,0.985511421,2.956534264
