id,x1,x2,x3,x4
0,437.086107,0.012828627,8,44.85771606
1,955.6428758,0.067276937,4,257.1709022
2,758.7945476,0.038292038,1,29.05578988
3,638.7926358,0.055771362,8,285.0106837
4,240.4167764,0.091680983,4,88.16658523
5,240.3950683,0.032436301,6,46.78516022
6,152.275251,0.046934463,8,57.17565714
7,879.5585312,0.077999602,4,274.4208631
8,641.0035106,0.030591835,3,58.82842069
9,737.26532,0.016928192,9,112.3251193
10,118.5260449,0.036077631,3,12.82841665
11,972.9188669,0.024509916,9,214.615436
12,849.1983767,0.093672789,2,159.0935602
13,291.1051996,0.082730834,2,48.16675198
14,263.6424705,0.067006338,2,35.33143302
15,265.0640589,0.088431453,6,140.6399994
16,373.8180187,0.082330487,3,92.32985849
17,572.2807885,0.026791305,9,137.9893439
18,488.7505168,0.09033031,4,176.5959425
19,362.1062262,0.058540802,1,21.19798881
20,650.6676053,0.082669614,4,215.161759
21,225.5444746,0.090648217,1,20.44520447
22,362.9301837,0.038620313,5,70.082386
23,429.725659,0.019904673,4,34.21419524
24,510.4629858,0.030514165,8,124.6108127
25,806.6583653,0.048439701,8,312.59432
26,279.7064039,0.083621329,7,163.7259485
27,562.8109946,0.087465752,3,147.6800615
28,633.173112,0.010625692,1,6.727902311
29,141.8053714,0.055967257,1,7.936457701
30,646.7903667,0.04756699,3,92.29761327
31,253.4717113,0.029989703,6,45.60924796
32,158.5464337,0.020787883,7,23.07091306
33,953.9969835,0.040385365,6,231.1651008
34,969.0688298,0.094861873,6,551.5661076
35,827.5576133,0.039088264,6,194.0867422
36,374.1523923,0.056691156,3,63.63339486
37,187.9049026,0.073271706,6,82.60867702
38,715.8097239,0.042726664,8,244.6732937
39,496.1372444,0.097460387,2,96.70745612
40,209.8344114,0.096620257,5,101.3712733
41,545.6592191,0.032660407,1,17.82145197
42,130.949669,0.054752366,1,7.169804143
43,918.3883619,0.037079048,5,170.2648302
44,332.9019834,0.035635644,3,35.5895302
45,696.2700559,0.013319825,4,37.09678192
46,380.5399685,0.06486079,3,74.04636901
47,568.0612191,0.055241112,1,31.38033348
48,592.0392514,0.014633088,1,8.663362236
49,266.36901,0.035078182,5,46.71870276
50,972.626165,0.09174393,6,535.3952792
51,797.619541,0.03156057,3,75.51998246
52,945.5490474,0.023040538,9,196.073633
53,905.3446154,0.054050748,5,244.6727702
54,638.1099809,0.098708541,8,503.8952411
55,929.6868115,0.031784974,1,29.55007154
56,179.6432518,0.070492199,5,63.31723953
57,276.3845762,0.078545765,3,65.12651422
58,140.70456,0.031387379,1,4.416347347
59,392.7972977,0.075539471,4,118.6868009
60,449.8095607,0.043100482,5,96.93504425
61,344.2141286,0.066907525,7,161.2136073
62,845.8637582,0.067017674,1,56.68782157
63,421.077994,0.058219722,3,73.54513071
64,352.8410587,0.018126079,2,12.79125002
65,588.4264748,0.085177225,9,451.0848061
66,226.8318025,0.038870206,10,88.16998855
67,821.9772827,0.026786666,6,132.1081853
68,167.0955793,0.013669763,10,22.84156924
69,988.1982429,0.063180365,3,187.3041767
70,795.0202924,0.070980793,8,451.4493637
71,278.8441134,0.011492905,8,25.63783035
72,104.9699054,0.056088375,2,11.77518289
73,833.9152856,0.03038462,6,152.0291932
74,736.1716095,0.068065551,7,350.7554843
75,756.1064512,0.025692979,2,38.85325376
76,794.143312,0.072184396,10,573.2475566
77,166.6401866,0.044806181,2,14.93302078
78,422.6191557,0.094305699,10,398.5539488
79,204.2821536,0.022376885,1,4.571198253
80,876.7930833,0.040695972,8,285.4555713
81,660.9683141,0.020212617,1,13.35989932
82,397.8082224,0.093222426,9,333.7618269
83,157.2025153,0.088960542,6,83.90892558
84,379.8840895,0.033214746,7,88.32427612
85,392.6649898,0.069398564,10,272.5038648
86,756.6455605,0.083549998,7,442.5241456
87,673.8017242,0.059968073,10,404.0659102
88,898.4914683,0.057668552,3,155.444106
89,524.9934326,0.031766706,2,33.35462424
90,207.6348213,0.018379249,9,34.34554893
91,741.9203085,0.090749418,8,538.6306909
92,784.7065438,0.091037625,10,714.3782018
93,605.1494778,0.066979131,7,283.7267037
94,793.870462,0.040512681,9,289.4563884
95,544.4160367,0.041428862,4,90.2181468
96,570.4595464,0.075336011,4,171.9045869
97,484.7869165,0.090739923,1,43.98952767
98,122.8772141,0.089837778,8,88.31212721
99,197.1022843,0.080188799,3,47.41618645
